batch,records_seen,mse,mse_moving_avg_100
1,32,13013.872477203471,
2,64,2890.4826089601615,
3,96,2660.4562785466424,
4,128,1721.6023870956092,
5,160,601.8573884454742,
6,192,1476.642920199856,
7,224,638.2047076572463,
8,256,2282.5710587406456,
9,288,1522.817744059332,
10,320,1094.7612551823395,
11,352,802.3036072265031,
12,384,8323.253618202412,
13,416,650.5776106444874,
14,448,1736.8964740268589,
15,480,4686.69287119452,
16,512,1048.8743176729174,
17,544,3493.3928334381562,
18,576,917.2200947535243,
19,608,2396.454298773745,
20,640,1148.2164219981705,
21,672,887.6472281969541,
22,704,583.1497207437924,
23,736,8815.847633359053,
24,768,389.3184862802525,
25,800,2386.416226919537,
26,832,428.7862865244392,
27,864,1653.8065700061238,
28,896,8788.566280814935,
29,928,1311.9914015064478,
30,960,1146.3664359457605,
31,992,1373.3273709040993,
32,1024,670.1295021926719,
33,1056,11712.280864674947,
34,1088,6116.389692786154,
35,1120,875.7442968011457,
36,1152,42310.30619040622,
37,1184,232.42659723224392,
38,1216,346.87817322085596,
39,1248,255.778952771622,
40,1280,4875.098578804728,
41,1312,8692.135776999934,
42,1344,779.752637584735,
43,1376,522.9320230643528,
44,1408,1385.508911886085,
45,1440,946.268249145043,
46,1472,9567.51268328458,
47,1504,717.5187387778078,
48,1536,429.681302569853,
49,1568,783.2899213180997,
50,1600,2434.462350388098,
51,1632,2328.7175156362014,
52,1664,923.4549234207491,
53,1696,619.1924400970389,
54,1728,578.8013718447235,
55,1760,546.7480059620167,
56,1792,1564.172944081315,
57,1824,405.1941726393339,
58,1856,691.5073062076693,
59,1888,531.0820818010038,
60,1920,166.29831678330666,
61,1952,6536.182731738285,
62,1984,960.5844424957502,
63,2016,792.5439916235324,
64,2048,2084.578697339909,
65,2080,2153.0820018430554,
66,2112,2954.0353415869627,
67,2144,1081.2606503780698,
68,2176,1405.3910868952632,
69,2208,605.4355742741128,
70,2240,6532.647441359141,
71,2272,324.1528234184493,
72,2304,439.5858196912263,
73,2336,559.5600985514639,
74,2368,883.4523675729337,
75,2400,5874.944202712869,
76,2432,673.5511713811948,
77,2464,6021.322029918837,
78,2496,1124.868647340128,
79,2528,2935.2143976982757,
80,2560,1204.690217112449,
81,2592,669.4563618055953,
82,2624,5350.7306828865585,
83,2656,3504.133025983121,
84,2688,594.0575467120311,
85,2720,4640.898471321453,
86,2752,348.15184990086783,
87,2784,2599.375611824272,
88,2816,3708.1905509398525,
89,2848,896.1151502644501,
90,2880,3899.946320321553,
91,2912,1350.493804967711,
92,2944,993.9067316753253,
93,2976,2226.7250935386414,
94,3008,21306.272652096995,
95,3040,353.88508164526246,
96,3072,1044.9003360301233,
97,3104,268.2261273704782,
98,3136,600.0493778329189,
99,3168,481.8871729611494,
100,3200,235.5105078814426,2831.016353304977
101,3232,989.6284568438859,2710.7739131013814
102,3264,230.71626097653785,2684.176249621545
103,3296,742.8754311536826,2665.0004411476157
104,3328,808.373370830701,2655.8681509849666
105,3360,66.88980405383587,2650.51847514105
106,3392,1208.155893428783,2647.8336048733395
107,3424,1851.2095118970828,2659.963652915738
108,3456,641.2289326810078,2643.5502316551415
109,3488,2966.993064035778,2657.991984854906
110,3520,881.9690820297934,2655.8640631233807
111,3552,2346.036390451585,2671.301390955631
112,3584,2105.937027817513,2609.128225051783
113,3616,352.5942697856934,2606.1483916431944
114,3648,8122.274445503301,2670.0021713579586
115,3680,328.48108544036415,2626.420053500417
116,3712,1541.0166080959982,2631.341476404648
117,3744,587.4312539427092,2602.281860609694
118,3776,1333.5062869579024,2606.444722531737
119,3808,12808.074907346388,2710.5609286174636
120,3840,545.7358420223601,2704.536122817705
121,3872,567.9362496573049,2701.3390130323082
122,3904,775.0194946534634,2703.257710771405
123,3936,4687.319091089923,2661.9724253487143
124,3968,873.9205310234943,2666.8184457961465
125,4000,2631.534548813243,2669.2696290150834
126,4032,497.8568153047824,2669.9603343028875
127,4064,1586.7032135061686,2669.289300737888
128,4096,2974.195512842558,2611.1455930581646
129,4128,603.2125243124187,2604.057804286224
130,4160,563.5109649520364,2598.2292495762863
131,4192,1824.6328867377042,2602.7423047346224
132,4224,1437.8649738512177,2610.419659451208
133,4256,1277.6750419101488,2506.07360122356
134,4288,9080.784649596731,2535.717550791666
135,4320,726.959954377643,2534.229707367431
136,4352,170.81063823395428,2112.8347518457076
137,4384,277.0017926627722,2113.280503800013
138,4416,1493.1708933941593,2124.743431001746
139,4448,946.488591453979,2131.6505273885696
140,4480,379.92035779858776,2086.6987451785085
141,4512,732.0762046567758,2007.098149455077
142,4544,1793.6040282573329,2017.2366633618028
143,4576,270.36940482958084,2014.7110371794552
144,4608,109.88083392578301,2001.9547563998522
145,4640,1229.0914794765072,2004.7829887031667
146,4672,1636.1163179657974,1925.4690250499789
147,4704,253.81486635690374,1920.83198632577
148,4736,208.74252071680849,1918.6225985072394
149,4768,2965.3769137670333,1940.4434684317287
150,4800,1087.9991843235512,1926.9788367710833
151,4832,983.78746897033,1913.5295363044245
152,4864,682.9490698604493,1911.1244777688216
153,4896,28853.17061497784,2193.4642595176297
154,4928,633.6925587084063,2194.0131713862665
155,4960,901.0686355046575,2197.556377681693
156,4992,1618.4791198147486,2198.0994394390277
157,5024,485.78954718691267,2198.9053931845033
158,5056,5801.919357495801,2250.009513697385
159,5088,319.96348285227293,2247.8983277078974
160,5120,1785.9466346832507,2264.0948108868965
161,5152,453.1088497304868,2203.264072066819
162,5184,2187.625143815775,2215.5344790800195
163,5216,1070.5866985272316,2218.3149061490562
164,5248,428.1583799446946,2201.750702975104
165,5280,458.45218905592037,2184.8044048472325
166,5312,358.60795113554667,2158.850130942718
167,5344,449.6935822757135,2152.5344602616947
168,5376,322.89352188907264,2141.7094846116324
169,5408,249.92726978599347,2138.1544015667514
170,5440,175.3716626949539,2074.5816437801095
171,5472,468.33535428688356,2076.0234690887937
172,5504,496.48707428479247,2076.592481634729
173,5536,4274.960036704136,2113.746481016256
174,5568,902.3370221292357,2113.935327561819
175,5600,1547.6670511183875,2070.6625560458747
176,5632,1066.8637261813954,2074.595681593876
177,5664,2380.6302862894804,2038.1887641575827
178,5696,889.785407269298,2035.8379317568745
179,5728,707.0681192672378,2013.5564689725643
180,5760,453.56812620984704,2006.0452480635383
181,5792,300.3108310815696,2002.3537927562977
182,5824,6299.917509281628,2011.8456610202486
183,5856,1023.6202063719751,1987.040532824137
184,5888,294.7268517345031,1984.0472258743619
185,5920,649.5271129698036,1944.1335122908454
186,5952,1117.6527050586185,1951.828520842423
