batch,records_seen,memory_mb
1,32,424.1328125
2,64,424.140625
3,96,424.1875
4,128,424.19140625
5,160,424.23046875
6,192,424.2734375
7,224,424.2734375
8,256,424.3125
9,288,424.3125
10,320,424.3515625
11,352,424.390625
12,384,424.390625
13,416,424.390625
14,448,424.4296875
15,480,424.46875
16,512,424.4765625
17,544,424.4765625
18,576,424.546875
19,608,424.5859375
20,640,424.5859375
21,672,424.625
22,704,424.671875
23,736,424.6796875
24,768,424.734375
25,800,425.0546875
26,832,425.0625
27,864,425.08203125
28,896,425.1328125
29,928,425.17578125
30,960,425.23046875
31,992,425.234375
32,1024,425.296875
33,1056,425.30078125
34,1088,425.328125
35,1120,425.328125
36,1152,425.3359375
37,1184,425.33984375
38,1216,425.33984375
39,1248,425.33984375
40,1280,425.3515625
41,1312,425.3515625
42,1344,425.3515625
43,1376,425.375
44,1408,425.375
45,1440,425.37890625
46,1472,425.37890625
47,1504,425.38671875
48,1536,425.38671875
49,1568,425.38671875
50,1600,425.390625
51,1632,425.51171875
52,1664,425.51171875
53,1696,425.51171875
54,1728,425.515625
55,1760,425.515625
56,1792,425.515625
57,1824,425.515625
58,1856,425.515625
59,1888,425.515625
60,1920,425.51953125
61,1952,425.5234375
62,1984,425.5234375
63,2016,425.5234375
64,2048,425.5234375
65,2080,425.5234375
66,2112,425.5234375
67,2144,425.52734375
68,2176,425.52734375
69,2208,425.52734375
70,2240,425.52734375
71,2272,425.52734375
72,2304,425.52734375
73,2336,425.52734375
74,2368,425.52734375
75,2400,425.52734375
76,2432,425.53125
77,2464,425.53515625
78,2496,425.53515625
79,2528,425.56640625
80,2560,425.56640625
81,2592,425.57421875
82,2624,425.57421875
83,2656,425.58203125
84,2688,425.58203125
85,2720,425.58203125
86,2752,425.58203125
87,2784,425.58203125
88,2816,425.5859375
89,2848,425.5859375
90,2880,425.5859375
91,2912,425.58984375
92,2944,425.58984375
93,2976,425.58984375
94,3008,425.58984375
95,3040,425.58984375
96,3072,425.58984375
97,3104,425.58984375
98,3136,425.6328125
99,3168,425.6328125
100,3200,425.6328125
101,3232,425.6328125
102,3264,425.6328125
103,3296,425.6328125
104,3328,425.6328125
105,3360,425.6328125
106,3392,425.63671875
107,3424,425.63671875
108,3456,425.64453125
109,3488,425.64453125
110,3520,425.64453125
111,3552,425.64453125
112,3584,425.64453125
113,3616,425.64453125
114,3648,425.64453125
115,3680,425.64453125
116,3712,425.64453125
117,3744,425.64453125
118,3776,425.64453125
119,3808,425.64453125
120,3840,425.64453125
121,3872,425.64453125
122,3904,425.64453125
123,3936,425.64453125
124,3968,425.64453125
125,4000,425.65234375
126,4032,425.65234375
127,4064,425.65234375
128,4096,425.65234375
129,4128,425.65234375
130,4160,425.65234375
131,4192,425.65234375
132,4224,425.65234375
133,4256,425.65234375
134,4288,425.65234375
135,4320,425.65234375
136,4352,425.65625
137,4384,425.65625
138,4416,425.65625
139,4448,425.65625
140,4480,425.65625
141,4512,425.65625
142,4544,425.6640625
143,4576,425.6640625
144,4608,425.6640625
145,4640,425.6640625
146,4672,425.6640625
147,4704,425.6640625
148,4736,425.6640625
149,4768,425.6640625
150,4800,425.6640625
151,4832,425.6640625
152,4864,425.66796875
153,4896,425.66796875
154,4928,425.66796875
155,4960,425.66796875
156,4992,425.66796875
157,5024,425.66796875
158,5056,425.66796875
159,5088,425.66796875
160,5120,425.66796875
161,5152,425.66796875
162,5184,425.671875
163,5216,425.6953125
164,5248,425.6953125
165,5280,425.6953125
166,5312,425.69921875
167,5344,425.69921875
168,5376,425.69921875
169,5408,425.69921875
170,5440,425.69921875
171,5472,425.69921875
172,5504,425.69921875
173,5536,425.69921875
174,5568,425.69921875
175,5600,425.69921875
176,5632,425.69921875
177,5664,425.69921875
178,5696,425.69921875
179,5728,425.69921875
180,5760,425.69921875
181,5792,425.69921875
182,5824,425.703125
183,5856,425.703125
184,5888,425.703125
185,5920,425.703125
186,5952,425.703125
187,5984,425.703125
188,6016,425.703125
189,6048,425.703125
190,6080,425.703125
191,6112,425.703125
192,6144,425.703125
193,6176,425.703125
194,6208,425.703125
195,6240,425.703125
196,6272,425.703125
197,6304,425.703125
198,6336,425.703125
199,6368,425.703125
200,6400,425.703125
201,6432,425.703125
202,6464,425.70703125
203,6496,425.70703125
204,6528,425.70703125
205,6560,425.70703125
206,6592,425.70703125
207,6624,425.70703125
208,6656,425.70703125
209,6688,425.70703125
210,6720,425.70703125
211,6752,425.70703125
212,6784,425.70703125
213,6816,425.70703125
214,6848,425.70703125
215,6880,425.70703125
216,6912,425.7109375
217,6944,425.71484375
218,6976,425.71484375
219,7008,425.71484375
220,7040,425.71484375
221,7072,425.71484375
222,7104,425.71484375
223,7136,425.71875
224,7168,425.71875
225,7200,425.71875
226,7232,425.7890625
227,7264,425.7890625
228,7296,425.7890625
229,7328,425.7890625
230,7360,425.7890625
231,7392,425.79296875
232,7424,425.79296875
233,7456,425.79296875
234,7488,425.79296875
235,7520,425.79296875
236,7552,425.79296875
237,7584,425.79296875
238,7616,425.79296875
239,7648,425.79296875
240,7680,425.79296875
241,7712,425.79296875
242,7744,425.79296875
243,7776,425.796875
244,7808,425.796875
245,7840,425.796875
246,7872,425.796875
247,7904,425.796875
248,7936,425.796875
249,7968,425.8046875
250,8000,425.8046875
251,8032,425.8046875
252,8064,425.8046875
253,8096,425.8046875
254,8128,425.8046875
255,8160,425.8046875
256,8192,425.8046875
257,8224,425.80859375
258,8256,425.80859375
259,8288,425.80859375
260,8320,425.80859375
261,8352,425.80859375
262,8384,425.80859375
263,8416,425.80859375
264,8448,425.8125
265,8480,425.8125
266,8512,425.8125
267,8544,425.81640625
268,8576,425.81640625
269,8608,425.859375
270,8640,425.859375
271,8672,425.859375
272,8704,425.859375
273,8736,425.859375
274,8768,425.859375
275,8800,425.859375
276,8832,425.859375
277,8864,425.859375
278,8896,425.86328125
279,8928,425.86328125
280,8960,425.86328125
281,8992,425.86328125
282,9024,425.86328125
283,9056,425.86328125
284,9088,425.86328125
285,9120,425.86328125
286,9152,425.8671875
287,9184,425.8671875
288,9216,425.8671875
289,9248,425.8671875
290,9280,425.8671875
291,9312,425.8671875
292,9344,425.8671875
293,9376,425.8671875
294,9408,425.8671875
295,9440,425.8671875
296,9472,425.8671875
297,9504,425.8671875
298,9536,425.8671875
299,9568,425.8671875
300,9600,425.8671875
301,9632,425.8671875
302,9664,425.8671875
303,9696,425.8671875
304,9728,425.8671875
305,9760,425.87109375
306,9792,425.87109375
307,9824,425.87109375
308,9856,425.87109375
309,9888,425.87109375
310,9920,425.87109375
311,9952,425.87109375
312,9984,425.87109375
313,10016,425.87109375
314,10048,425.87109375
315,10080,425.87109375
316,10112,425.87109375
317,10144,425.87109375
318,10176,425.875
319,10208,425.875
320,10240,425.875
321,10272,425.875
322,10304,425.875
323,10336,425.875
324,10368,425.875
325,10400,425.87890625
326,10432,425.87890625
327,10464,425.87890625
328,10496,425.87890625
329,10528,425.87890625
330,10560,425.87890625
331,10592,425.87890625
332,10624,425.87890625
333,10656,425.87890625
334,10688,425.87890625
335,10720,425.87890625
336,10752,425.87890625
337,10784,425.87890625
338,10816,425.87890625
339,10848,425.87890625
340,10880,425.87890625
341,10912,425.8828125
342,10944,425.8828125
343,10976,425.8828125
344,11008,425.8828125
345,11040,425.88671875
346,11072,425.88671875
347,11104,425.88671875
348,11136,425.88671875
349,11168,425.88671875
350,11200,425.88671875
351,11232,425.88671875
352,11264,425.88671875
353,11296,425.88671875
354,11328,425.88671875
355,11360,425.88671875
356,11392,425.88671875
357,11424,425.88671875
358,11456,425.88671875
359,11488,425.88671875
360,11520,425.88671875
361,11552,425.88671875
362,11584,425.88671875
363,11616,425.890625
364,11648,425.890625
365,11680,425.890625
366,11712,425.890625
367,11744,425.890625
368,11776,425.890625
369,11808,425.89453125
370,11840,425.89453125
371,11872,425.89453125
372,11904,425.89453125
373,11936,425.89453125
374,11968,425.89453125
375,12000,425.89453125
376,12032,425.89453125
377,12064,425.89453125
378,12096,425.89453125
379,12128,425.89453125
380,12160,425.89453125
381,12192,425.89453125
382,12224,425.89453125
383,12256,425.89453125
384,12288,425.8984375
385,12320,425.8984375
386,12352,425.8984375
387,12384,425.8984375
388,12416,425.8984375
389,12448,425.8984375
390,12480,425.8984375
391,12512,425.8984375
392,12544,425.8984375
393,12576,425.8984375
394,12608,425.8984375
395,12640,425.8984375
396,12672,425.8984375
397,12704,425.8984375
398,12736,425.8984375
399,12768,425.8984375
400,12800,425.8984375
401,12832,425.8984375
402,12864,425.8984375
403,12896,425.8984375
404,12928,425.8984375
405,12960,425.90234375
